Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
41.3,8963608459,46,194861053.5,196111259.0,3726,970327180,134475095.0,cudaDeviceSynchronize
35.1,7611410410,99610,76412.1,5249.0,2882,31547003,1058415.5,cudaLaunchKernel
10.7,2318359952,23664,97969.9,5341.0,2908,30946015,1177180.0,cuLaunchKernel
3.8,818155179,9908,82575.2,292.0,121,529471872,5555356.3,cuKernelSetAttribute
3.1,682787654,9908,68912.8,5650.5,2963,15820970,915553.1,cuLaunchKernelEx
2.7,587219639,3125,187910.3,18950.0,3842,14491714,767820.6,cudaMemcpy
1.1,233834618,1855,126056.4,3385.0,1130,101291830,2422196.3,cudaFree
0.9,195609241,882,221779.2,5738.5,3191,15118089,1718243.0,cudaLaunchKernelExC
0.4,94352158,41,2301272.1,165705.0,26794,18270884,3868136.8,cuLibraryLoadData
0.3,73173271,1761,41552.1,21619.0,4241,20873336,501619.7,cudaMemGetInfo
0.3,64188221,1857,34565.5,6321.0,1271,7371936,176621.0,cudaMalloc
0.1,26383139,23664,1114.9,167.0,79,14802633,97673.8,cuKernelGetFunction
0.1,15750637,99610,158.1,101.0,58,198253,839.8,cuKernelGetName
0.1,15187110,67145,226.2,144.0,68,192239,1019.8,cuStreamGetGreenCtx
0.0,2191320,900,2434.8,1080.0,512,88442,4603.7,cudaEventRecord
0.0,868411,5382,161.4,96.0,65,17793,342.4,cuStreamGetCaptureInfo_v2
0.0,234506,79,2968.4,931.0,137,12934,3525.4,cuLibraryGetKernel
0.0,143366,18,7964.8,5841.0,5177,22933,4549.1,cudaMemsetAsync
0.0,17900,18,994.4,428.5,302,7835,1802.7,cudaEventCreateWithFlags
0.0,10099,2,5049.5,5049.5,4210,5889,1187.2,cudaEventQuery
0.0,9165,1,9165.0,9165.0,9165,9165,0.0,cuCtxSynchronize
0.0,9147,1,9147.0,9147.0,9147,9147,0.0,cuModuleGetLoadingMode
0.0,3920,2,1960.0,1960.0,676,3244,1815.9,cuInit
0.0,3216,3,1072.0,573.0,511,2132,918.5,cudaGetDriverEntryPointByVersion
0.0,2029,2,1014.5,1014.5,916,1113,139.3,cuGetProcAddress
0.0,461,1,461.0,461.0,461,461,0.0,cuDeviceGetLuid
