Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
41.4,9008553297,46,195838115.2,197393262.0,3833,968467793,134180052.9,cudaDeviceSynchronize
35.6,7756787391,99610,77871.6,5810.0,2883,31652537,1063596.6,cudaLaunchKernel
9.4,2046759683,23664,86492.5,5813.0,2935,29005169,1057470.8,cuLaunchKernel
3.8,832272333,9908,84000.0,302.0,121,529076346,5578161.6,cuKernelSetAttribute
3.5,763364109,9908,77045.2,6219.0,2983,15864844,965655.1,cuLaunchKernelEx
3.2,690122505,3125,220839.2,19784.0,3828,15055288,975292.3,cudaMemcpy
1.1,243822090,1855,131440.5,3464.0,1131,108964206,2598791.8,cudaFree
0.5,107024880,1768,60534.4,23547.0,3549,19751585,479991.9,cudaMemGetInfo
0.5,98703969,882,111909.3,5902.5,3068,15226656,1068887.6,cudaLaunchKernelExC
0.4,82034457,41,2000840.4,162972.0,26370,10286640,2930752.3,cuLibraryLoadData
0.3,64218683,1857,34582.0,6507.0,1310,7680976,183361.6,cudaMalloc
0.1,32600489,23664,1377.6,174.0,81,18112780,121230.8,cuKernelGetFunction
0.1,18249276,99610,183.2,111.0,61,246903,1328.1,cuKernelGetName
0.1,17717120,67145,263.9,155.0,72,388171,2473.1,cuStreamGetGreenCtx
0.0,5202966,18,289053.7,7218.0,5446,5023660,1181644.4,cudaMemsetAsync
0.0,3716188,900,4129.1,1106.5,497,1136868,39256.8,cudaEventRecord
0.0,980320,2,490160.0,490160.0,654,979666,692266.0,cuInit
0.0,942526,5382,175.1,104.0,67,3975,236.7,cuStreamGetCaptureInfo_v2
0.0,233386,79,2954.3,804.0,229,14075,3696.1,cuLibraryGetKernel
0.0,15587,18,865.9,408.0,241,8066,1806.5,cudaEventCreateWithFlags
0.0,10545,2,5272.5,5272.5,4720,5825,781.4,cudaEventQuery
0.0,10537,1,10537.0,10537.0,10537,10537,0.0,cuCtxSynchronize
0.0,7866,1,7866.0,7866.0,7866,7866,0.0,cuModuleGetLoadingMode
0.0,3477,3,1159.0,635.0,578,2264,957.4,cudaGetDriverEntryPointByVersion
0.0,2229,2,1114.5,1114.5,1105,1124,13.4,cuGetProcAddress
0.0,534,1,534.0,534.0,534,534,0.0,cuDeviceGetLuid
