timestamp, temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], utilization.gpu [%], memory.used [MiB]
2026/09/04 23:03:25.805, 35, 180 MHz, 405 MHz, 11.39 W, 0 %, 508 MiB
2026/09/04 23:03:27.809, 35, 180 MHz, 405 MHz, 11.27 W, 0 %, 508 MiB
2026/09/04 23:03:29.810, 35, 180 MHz, 405 MHz, 11.14 W, 0 %, 508 MiB
2026/09/04 23:03:31.812, 45, 2865 MHz, 14801 MHz, 122.09 W, 98 %, 12813 MiB
2026/09/04 23:03:33.820, 44, 2865 MHz, 14801 MHz, 173.57 W, 96 %, 12813 MiB
2026/09/04 23:03:35.823, 48, 2865 MHz, 14801 MHz, 177.07 W, 98 %, 12813 MiB
2026/09/04 23:03:37.831, 43, 2880 MHz, 14801 MHz, 143.23 W, 100 %, 12813 MiB
2026/09/04 23:03:39.846, 50, 2865 MHz, 14801 MHz, 176.91 W, 97 %, 12813 MiB
2026/09/04 23:03:41.855, 51, 2850 MHz, 14801 MHz, 174.07 W, 100 %, 12813 MiB
2026/09/04 23:03:43.869, 50, 2865 MHz, 14801 MHz, 176.58 W, 98 %, 12813 MiB
2026/09/04 23:03:45.880, 43, 2880 MHz, 14801 MHz, 168.41 W, 0 %, 805 MiB
2026/09/04 23:03:47.886, 40, 720 MHz, 7001 MHz, 37.38 W, 0 %, 805 MiB
2026/09/04 23:03:49.899, 40, 405 MHz, 7001 MHz, 25.46 W, 0 %, 805 MiB
2026/09/04 23:03:51.909, 50, 2872 MHz, 14801 MHz, 156.92 W, 98 %, 12815 MiB
2026/09/04 23:03:53.920, 46, 2880 MHz, 14801 MHz, 151.54 W, 100 %, 12815 MiB
2026/09/04 23:03:55.932, 52, 2865 MHz, 14801 MHz, 191.80 W, 98 %, 12815 MiB
2026/09/04 23:03:57.947, 53, 2857 MHz, 14801 MHz, 198.51 W, 98 %, 12815 MiB
2026/09/04 23:03:59.951, 53, 2857 MHz, 14801 MHz, 191.43 W, 99 %, 12815 MiB
2026/09/04 23:04:01.965, 45, 2880 MHz, 14801 MHz, 92.07 W, 0 %, 807 MiB
2026/09/04 23:04:03.967, 42, 420 MHz, 7001 MHz, 28.40 W, 0 %, 807 MiB
2026/09/04 23:04:05.978, 43, 180 MHz, 7001 MHz, 26.03 W, 31 %, 3599 MiB
2026/09/04 23:04:07.991, 56, 2857 MHz, 14801 MHz, 192.78 W, 97 %, 12815 MiB
2026/09/04 23:04:10.006, 56, 2857 MHz, 14801 MHz, 232.70 W, 99 %, 12815 MiB
2026/09/04 23:04:12.013, 53, 2880 MHz, 14801 MHz, 151.35 W, 100 %, 12815 MiB
2026/09/04 23:04:14.022, 55, 2857 MHz, 14801 MHz, 194.63 W, 98 %, 12815 MiB
2026/09/04 23:04:16.034, 47, 2880 MHz, 14801 MHz, 153.56 W, 0 %, 807 MiB
2026/09/04 23:04:18.035, 44, 465 MHz, 7001 MHz, 32.94 W, 0 %, 807 MiB
2026/09/04 23:04:20.047, 44, 195 MHz, 810 MHz, 16.34 W, 0 %, 807 MiB
2026/09/04 23:04:22.062, 54, 2857 MHz, 14801 MHz, 194.19 W, 98 %, 12815 MiB
2026/09/04 23:04:24.075, 55, 2842 MHz, 14801 MHz, 190.06 W, 94 %, 12815 MiB
2026/09/04 23:04:26.080, 52, 2857 MHz, 14801 MHz, 184.18 W, 100 %, 12815 MiB
2026/09/04 23:04:28.087, 58, 2857 MHz, 14801 MHz, 195.93 W, 98 %, 12815 MiB
2026/09/04 23:04:30.092, 57, 2850 MHz, 14801 MHz, 202.56 W, 96 %, 12815 MiB
2026/09/04 23:04:32.101, 52, 2865 MHz, 14801 MHz, 177.49 W, 100 %, 12815 MiB
2026/09/04 23:04:34.106, 48, 2880 MHz, 14801 MHz, 56.10 W, 0 %, 807 MiB
2026/09/04 23:04:36.110, 46, 360 MHz, 810 MHz, 25.68 W, 0 %, 807 MiB
2026/09/04 23:04:38.116, 45, 1177 MHz, 14801 MHz, 19.34 W, 89 %, 5697 MiB
2026/09/04 23:04:40.122, 56, 2857 MHz, 14801 MHz, 181.37 W, 97 %, 12815 MiB
2026/09/04 23:04:42.129, 55, 2857 MHz, 14801 MHz, 179.73 W, 96 %, 12815 MiB
2026/09/04 23:04:44.140, 56, 2850 MHz, 14801 MHz, 180.65 W, 97 %, 12815 MiB
2026/09/04 23:04:46.152, 56, 2857 MHz, 14801 MHz, 181.25 W, 98 %, 12815 MiB
2026/09/04 23:04:48.161, 55, 2857 MHz, 14801 MHz, 181.12 W, 97 %, 12815 MiB
2026/09/04 23:04:50.173, 56, 2857 MHz, 14801 MHz, 181.69 W, 97 %, 12815 MiB
2026/09/04 23:04:52.188, 51, 2880 MHz, 14801 MHz, 146.09 W, 100 %, 12815 MiB
2026/09/04 23:04:54.199, 56, 2857 MHz, 14801 MHz, 182.08 W, 97 %, 12815 MiB
2026/09/04 23:04:56.207, 56, 2857 MHz, 14801 MHz, 182.60 W, 97 %, 12815 MiB
2026/09/04 23:04:58.215, 55, 2857 MHz, 14801 MHz, 181.56 W, 98 %, 12815 MiB
2026/09/04 23:05:00.223, 55, 2857 MHz, 14801 MHz, 183.40 W, 98 %, 12815 MiB
2026/09/04 23:05:02.231, 56, 2857 MHz, 14801 MHz, 181.97 W, 99 %, 12815 MiB
2026/09/04 23:05:04.243, 56, 2857 MHz, 14801 MHz, 183.11 W, 98 %, 12815 MiB
2026/09/04 23:05:06.250, 51, 2865 MHz, 14801 MHz, 147.31 W, 100 %, 12815 MiB
2026/09/04 23:05:08.252, 47, 2880 MHz, 14801 MHz, 56.19 W, 0 %, 807 MiB
2026/09/04 23:05:10.258, 45, 450 MHz, 7001 MHz, 26.53 W, 0 %, 807 MiB
2026/09/04 2
