pre-A2: 45, 180 MHz, 1229 MiB, 21.21 W
post-A2: 55, 2827 MHz, 1233 MiB, 183.52 W
pre-A2b: 21:21:15 41, 225 MHz, 1234 MiB, 17.51 W
post-A2b: 21:21:53 51, 2872 MHz, 1234 MiB, 173.59 W
pre-A3: 21:23:04 41, 180 MHz, 1235 MiB, 17.39 W
post-A3: 21:24:35 45, 2880 MHz, 1143 MiB, 71.89 W
pre-B3: 21:25:46 41, 532 MHz, 1139 MiB, 21.18 W
post-B3: 21:27:12 45, 2880 MHz, 1139 MiB, 70.99 W
pre-B2: 21:28:20 41, 555 MHz, 1139 MiB, 20.60 W
post-B2: 21:28:59 54, 2835 MHz, 1139 MiB, 183.47 W
pre-B1: 21:30:09 41, 1252 MHz, 1139 MiB, 32.38 W
post-B1: 21:31:06 60, 2835 MHz, 1139 MiB, 175.69 W
pre-C: 21:32:31 46, 255 MHz, 1139 MiB, 20.56 W
post-C: 21:32:43 53, 2842 MHz, 1139 MiB, 173.07 W
